"feature","%IncMSE","IncNodePurity"
"reviews",16.8164412201872,10.3153462555911
"avg_neighborhood_price",15.5969994323004,0.522188406829924
"reviews_to_neighborhood_ratio",15.0189752218857,9.33969675002133
"price_to_neighborhood_ratio",13.8009404534928,13.5740287836271
"avg_neighborhood_reviews",11.9077596876129,0.395153792775797
"neighborhood_group",10.6562561008748,0.365215741241478
"price",10.6242962510297,9.58517027378446
"review_period",9.99670276186644,2.70216419450567
"reviews_per_month",9.56008863906452,1.61903290616273
"price_per_bedroom",9.45153245252858,4.33914805826671
"price_tier",8.46626874339925,8.71111584061236
"days_since_last_review",7.81263416812615,1.00440697320046
"listing_count",7.32007293776508,0.165126882844193
"distance_to_center_km",7.07353528183409,0.305007456858346
"bedrooms",6.45231139746189,0.965446140853611
"price_per_person",5.45788026223337,1.79953966703458
"room_type",5.2549741211806,1.36067524584492
"accommodates",5.13463903966524,1.67455183367805
"longitude",4.97185685266123,0.225984049724253
"beds",4.8778335225012,1.01138832503104
"host_days",4.87560081581316,0.261138778121553
"avg_rating",4.76129807713729,0.155698853088507
"host_response_rate",4.39310302154798,0.458437212157112
"rating_range",4.34786203792329,0.165531988158474
"host_years",4.31110741786692,0.255782900840136
"overall_rating",4.30483481293593,0.161218705665423
"cleanliness_rating",3.98940132727231,0.0380329957347571
"is_superhost",3.80218412802309,0.410767836469132
"guests_included",3.73692926194135,0.605372855539105
"host_response_time",3.73005035849857,0.445104473272282
"guests_vs_capacity",3.57334745670622,0.264587753248542
"latitude",3.36726713442529,0.239284857825172
"has_reviews",2.94823556541539,0.0573483618304331
"bathrooms",2.90163319815234,0.321789366983604
"value_rating",2.6222851167498,0.0561753148744053
"location_rating",2.41004026726003,0.0403543512002735
"min_nights",2.16443371846002,0.126926113922807
"is_exact_location",1.73686035329846,0.0209099017766148
"accuracy_rating",1.52462199658729,0.0204964533333985
"min_nights_category",1.26435603384646,0.07690549250342
"checkin_rating",0.821499010960812,0.0192391017056184
"instant_bookable",0.00248740449969205,0.0412253382380127
"business_travel_ready",0,0
"business_ready",0,0
"square_feet",-0.347140739303752,0.102653052570765
"property_type",-1.28053843713086,0.181429684153739
"communication_rating",-1.4472021033677,0.0192687374014124
