"neighbourhood","optimal_price","max_demand"
"Friedrichshain",20,NA
"Friedrichshain",25,NA
"Friedrichshain",30,NA
"Friedrichshain",35,NA
"Friedrichshain",40,NA
"Friedrichshain",45,NA
"Friedrichshain",50,NA
"Friedrichshain",55,NA
"Friedrichshain",60,NA
"Friedrichshain",65,NA
"Friedrichshain",70,NA
"Friedrichshain",75,NA
"Friedrichshain",80,NA
"Friedrichshain",85,NA
"Friedrichshain",90,NA
"Friedrichshain",95,NA
"Friedrichshain",100,NA
"Friedrichshain",105,NA
"Friedrichshain",110,NA
"Friedrichshain",115,NA
"Friedrichshain",120,NA
"Friedrichshain",125,NA
"Friedrichshain",130,NA
"Friedrichshain",135,NA
"Friedrichshain",140,NA
"Friedrichshain",145,NA
"Friedrichshain",150,NA
"Kreuzberg",20,NA
"Kreuzberg",25,NA
"Kreuzberg",30,NA
"Kreuzberg",35,NA
"Kreuzberg",40,NA
"Kreuzberg",45,NA
"Kreuzberg",50,NA
"Kreuzberg",55,NA
"Kreuzberg",60,NA
"Kreuzberg",65,NA
"Kreuzberg",70,NA
"Kreuzberg",75,NA
"Kreuzberg",80,NA
"Kreuzberg",85,NA
"Kreuzberg",90,NA
"Kreuzberg",95,NA
"Kreuzberg",100,NA
"Kreuzberg",105,NA
"Kreuzberg",110,NA
"Kreuzberg",115,NA
"Kreuzberg",120,NA
"Kreuzberg",125,NA
"Kreuzberg",130,NA
"Kreuzberg",135,NA
"Kreuzberg",140,NA
"Kreuzberg",145,NA
"Kreuzberg",150,NA
"Mitte",20,NA
"Mitte",25,NA
"Mitte",30,NA
"Mitte",35,NA
"Mitte",40,NA
"Mitte",45,NA
"Mitte",50,NA
"Mitte",55,NA
"Mitte",60,NA
"Mitte",65,NA
"Mitte",70,NA
"Mitte",75,NA
"Mitte",80,NA
"Mitte",85,NA
"Mitte",90,NA
"Mitte",95,NA
"Mitte",100,NA
"Mitte",105,NA
"Mitte",110,NA
"Mitte",115,NA
"Mitte",120,NA
"Mitte",125,NA
"Mitte",130,NA
"Mitte",135,NA
"Mitte",140,NA
"Mitte",145,NA
"Mitte",150,NA
"Prenzlauer Berg",20,NA
"Prenzlauer Berg",25,NA
"Prenzlauer Berg",30,NA
"Prenzlauer Berg",35,NA
"Prenzlauer Berg",40,NA
"Prenzlauer Berg",45,NA
"Prenzlauer Berg",50,NA
"Prenzlauer Berg",55,NA
"Prenzlauer Berg",60,NA
"Prenzlauer Berg",65,NA
"Prenzlauer Berg",70,NA
"Prenzlauer Berg",75,NA
"Prenzlauer Berg",80,NA
"Prenzlauer Berg",85,NA
"Prenzlauer Berg",90,NA
"Prenzlauer Berg",95,NA
"Prenzlauer Berg",100,NA
"Prenzlauer Berg",105,NA
"Prenzlauer Berg",110,NA
"Prenzlauer Berg",115,NA
"Prenzlauer Berg",120,NA
"Prenzlauer Berg",125,NA
"Prenzlauer Berg",130,NA
"Prenzlauer Berg",135,NA
"Prenzlauer Berg",140,NA
"Prenzlauer Berg",145,NA
"Prenzlauer Berg",150,NA
